entry_z,exit_z,cooldown,total_return,ann_return,sharpe,max_dd,num_trades,win_rate,profit_factor,pct_time_invested,total_costs
1.0,0.8,30,-1.218772051902418,-0.17552372730261778,-1.0536951574197526,14.054808053360299,48,25.0,0.36739275175003644,30.852272727272727,32440.498567519695
1.2,0.2,42,3.900815940844768,0.5497245974410259,-0.8436988243404953,13.58163877551678,36,33.33333333333333,0.781268901176391,35.79545454545455,28602.377281948844
1.2,0.5,15,1.1760247275554225,0.16763845270386657,-0.9333544053413619,13.581786058815556,40,30.0,0.4663582857549986,33.01136363636364,29332.958765763426
1.2,0.2,15,3.068696459153795,0.4339596417845648,-0.8732011312237534,13.581663968036104,36,33.33333333333333,0.7427579349741062,35.79545454545455,27978.916511369567
1.2,0.2,21,3.7818121886866165,0.5332175095895009,-0.8470287563891954,13.581636864255408,36,33.33333333333333,0.7813917103044202,35.79545454545455,29504.841657212404
1.2,0.2,30,3.5115108619814275,0.49566350445051643,-0.8558664297326223,13.728900766696242,36,33.33333333333333,0.7792296119262185,35.79545454545455,29598.71991607573
1.2,0.5,10,1.6443358376478892,0.23393020280126908,-0.9177606644069881,13.581780524512475,40,30.0,0.4738997877192632,33.01136363636364,30494.757506511225
1.2,0.5,21,2.1409762304925244,0.303946818733869,-0.8983706717004389,13.5817679243597,40,30.0,0.47911941981183237,33.01136363636364,29901.620607597582
1.2,0.5,30,1.9609811656329315,0.2786047892872956,-0.9047880997277189,13.729043710720504,40,30.0,0.4851561387047407,33.01136363636364,29847.23312492003
1.2,0.5,42,2.1517585887708237,0.3054636834165958,-0.8979835243868032,13.581769844289928,40,30.0,0.4789469734443828,33.01136363636364,29225.794770997425
1.2,0.8,15,-0.6232071258579963,-0.08952193260239882,-1.049547000385793,13.58173526272504,41,29.268292682926827,0.4211529068101224,29.602272727272727,27936.470056433078
1.2,0.8,10,-1.6455870250275242,-0.23743107701352795,-1.0878100705937375,13.581726007847278,41,29.268292682926827,0.40740316982973,29.602272727272727,29155.19869193496
1.2,0.8,21,-1.0323707872297032,-0.14855904003989728,-1.06028969982705,13.581715206736819,41,29.268292682926827,0.4108926074690891,29.602272727272727,28143.864674951365
1.2,0.8,30,-0.9929668654563255,-0.1428644657857081,-1.0607727801422029,13.728982474669705,41,29.268292682926827,0.4165660592427391,29.602272727272727,29047.42905802284
1.2,0.8,42,-1.049684893839492,-0.15106185364759384,-1.0608464125327877,13.581717123289364,41,29.268292682926827,0.4108550976156495,29.602272727272727,27711.99945562663
1.4,0.2,10,2.199779760753794,0.3122176476971772,-0.9570431708182785,13.58154162136611,29,34.48275862068966,0.7940083345294721,31.079545454545453,24398.236236352954
1.4,0.2,15,2.078649891641364,0.2951760454722452,-0.9620646494702646,13.581548810124144,29,34.48275862068966,0.7678974653281866,31.079545454545453,22874.413050927902
1.4,0.2,21,2.8367401073218788,0.40154704447357137,-0.9309782167667464,13.58152362282809,29,34.48275862068966,0.8146383476628395,31.079545454545453,24770.960913492563
1.4,0.2,30,2.479324623286724,0.3514804944485306,-0.9434414551982796,13.728769843378203,29,34.48275862068966,0.8057849105579376,31.079545454545453,24381.558528517144
1.4,0.5,10,-0.12579454312826274,-0.01803144985309535,-1.034272004269926,13.581593451553356,30,33.33333333333333,0.5548853849123816,28.579545454545453,24136.708381681357
1.4,0.5,15,-0.48622297190999375,-0.06980339080361331,-1.0483050917272314,13.581598952663615,30,33.33333333333333,0.5458496263513154,28.579545454545453,22826.520607896437
1.4,0.2,42,2.950841063916532,0.4174988470934782,-0.9275322280815191,13.581525525907146,29,34.48275862068966,0.8145289104814571,31.079545454545453,23877.430239898138
1.4,0.5,21,0.48177702099828745,0.06887890550060227,-1.0082296538292728,13.58158664831824,30,33.33333333333333,0.5653380405278718,28.579545454545453,23828.701621021908
1.4,0.5,30,0.22324625542489812,0.031952433248050305,-1.0180749673092397,13.7288309643825,30,33.33333333333333,0.5625536996929957,28.579545454545453,23703.494185274943
1.4,0.5,42,0.48864129614831187,0.06985823402394509,-1.0079178646469982,13.581588556127782,30,33.33333333333333,0.5651339295147122,28.579545454545453,23162.64410109214
1.4,0.8,10,-3.209798062058003,-0.4662973306599705,-1.1667601660581348,13.581589485804688,30,33.33333333333333,0.437941054133024,26.477272727272727,22782.304958669574
1.4,0.8,15,-2.375745807089831,-0.34387259407004933,-1.1333262328605933,13.58159869981008,30,33.33333333333333,0.4512396609496527,26.477272727272727,21557.67905748768
1.4,0.8,30,-2.768120501598413,-0.4013544681555459,-1.1457157839975247,13.728827213539308,30,33.33333333333333,0.443363366709275,26.477272727272727,23100.325685380158
1.4,0.8,42,-2.5614606631884698,-0.3710546189757413,-1.137116242725035,13.581585483410278,30,33.33333333333333,0.4452303968447125,26.477272727272727,21612.60516107745
1.4,0.8,21,-2.544387474665721,-0.3685538618785067,-1.1365414733333188,13.581583575780881,30,33.33333333333333,0.44527645253379255,26.477272727272727,22039.85696623575
1.6,0.2,10,1.6984691228423967,0.2415761554553253,-0.9812718856665194,13.581663160471644,27,40.74074074074074,0.8358880728023035,30.227272727272727,23286.123530095956
1.6,0.2,15,1.5636719931454397,0.2225305170232117,-0.9869718459807573,13.581670866398184,27,40.74074074074074,0.8086023692268006,30.227272727272727,21969.445120109947
1.6,0.2,21,2.432213921211031,0.3448701004331367,-0.9537871543017078,13.581646929755328,27,37.03703703703704,0.8633191998301635,30.227272727272727,23393.81007460387
1.6,0.2,30,1.978385915830196,0.28105692791151604,-0.9674248362720737,13.728907323337577,27,40.74074074074074,0.8498858575975765,30.227272727272727,23023.890299295446
1.6,0.2,42,2.5391858915114542,0.3598762444777748,-0.950525006539325,13.581649749444225,27,37.03703703703704,0.8635077865160444,30.227272727272727,22493.837843089324
1.6,0.5,10,-0.6157807290078257,-0.08845232369103506,-1.059496689267583,13.581715183934758,28,35.714285714285715,0.5692004205015785,27.727272727272727,23038.105365609
1.6,0.5,21,0.0890853898498346,0.012757791881790048,-1.0320940839777055,13.581710194995091,28,32.142857142857146,0.5828980652965585,27.727272727272727,22460.67666970502
1.6,0.5,30,-0.26315093008024854,-0.03774241569709513,-1.0429051800679874,13.728968671059816,28,35.714285714285715,0.5778784998261475,27.727272727272727,22365.517445137346
